frame,LTIB0_0,LTIB0_1,LTIB0_2,LTIB1_0,LTIB1_1,LTIB1_2,LTIB2_0,LTIB2_1,LTIB2_2,LTIB3_0,LTIB3_1,LTIB3_2,LHDF0_0,LHDF0_1,LHDF0_2,LHDF1_0,LHDF1_1,LHDF1_2,LHDF2_0,LHDF2_1,LHDF2_2,LHDF3_0,LHDF3_1,LHDF3_2,LFOF0_0,LFOF0_1,LFOF0_2,LFOF1_0,LFOF1_1,LFOF1_2,LFOF2_0,LFOF2_1,LFOF2_2,LFOF3_0,LFOF3_1,LFOF3_2,LHLX0_0,LHLX0_1,LHLX0_2,LHLX1_0,LHLX1_1,LHLX1_2,LHLX2_0,LHLX2_1,LHLX2_2,LHLX3_0,LHLX3_1,LHLX3_2,RTIB0_0,RTIB0_1,RTIB0_2,RTIB1_0,RTIB1_1,RTIB1_2,RTIB2_0,RTIB2_1,RTIB2_2,RTIB3_0,RTIB3_1,RTIB3_2,RHDF0_0,RHDF0_1,RHDF0_2,RHDF1_0,RHDF1_1,RHDF1_2,RHDF2_0,RHDF2_1,RHDF2_2,RHDF3_0,RHDF3_1,RHDF3_2,RFOF0_0,RFOF0_1,RFOF0_2,RFOF1_0,RFOF1_1,RFOF1_2,RFOF2_0,RFOF2_1,RFOF2_2,RFOF3_0,RFOF3_1,RFOF3_2,RHLX0_0,RHLX0_1,RHLX0_2,RHLX1_0,RHLX1_1,RHLX1_2,RHLX2_0,RHLX2_1,RHLX2_2,RHLX3_0,RHLX3_1,RHLX3_2
0,-56.46745436772745,-963.4526157780322,67.7066657970994,-56.65885468094049,-962.4779187565659,67.59120309122922,-56.48830976179075,-963.3390434339334,68.6999766120986,-55.4861639047959,-963.2600877566929,67.70525570534156,-51.10602569580078,-1024.6973876953125,19.562517166137695,-51.26687857059379,-1023.7112599363286,19.60348539324458,-51.1634982331773,-1024.7481845168127,20.55957112173538,-50.12072205726171,-1024.5393632481946,19.627363245392555,-84.58057549091858,-827.3383627276573,18.395496205559255,-84.79949775192723,-826.3626420723111,18.388996485132644,-84.56335488090224,-827.3278388431386,19.395292534040863,-83.6049851597726,-827.1195969840287,18.37638978807522,-26.528643853419325,-843.5267885336754,17.566002709657774,-26.553980425071085,-843.5010799953823,16.566654357382266,-26.567724289729224,-844.5257191041345,17.54129572886195,-27.527558653407173,-843.488359554232,17.592316886524728,189.98728908918778,-959.7097455432028,72.02399668566858,190.13396440918217,-958.7282841353477,71.9006279076255,190.00609853527155,-959.5878177244009,73.01635741228982,190.9762949310525,-959.8576208687089,72.02341974207322,186.5545196533203,-1023.4234008789062,21.054889678955078,186.60312139479345,-1022.4250359714603,21.084979250340897,186.5764061476716,-1023.454583314828,22.054163733984524,187.5530980689146,-1023.4713087829555,21.03152345035856,219.11316214856407,-825.4187060333475,21.544005677955248,219.30447326143292,-824.4372054712093,21.551535924645517,219.10097370021697,-825.4240017981289,22.543917372357445,220.09461591712363,-825.610092034397,21.554955508205687,163.28511013811564,-843.0904240982411,20.76989472922205,163.41800513835256,-842.3699775127587,21.45055296679717,164.27002319592384,-843.1096191908215,20.597912704057368,163.17427157320728,-842.3971793608737,20.057766547894147
1,-56.46483703477575,-963.4614765745439,67.70740238643924,-56.65602472344068,-962.4867373988733,67.59194327196164,-56.48573824928153,-963.3479171786594,68.70071371872058,-55.48350609827413,-963.269154441082,67.70606446061178,-51.10218048095703,-1024.6951904296875,19.563064575195312,-51.26313530695709,-1023.7090782259926,19.60400679925978,-51.15950093138065,-1024.7459433352935,20.560129522195144,-50.11688463201088,-1024.537054841357,19.627757895970145,-84.59113586414276,-827.3368126909639,18.378616640031076,-84.81011536114066,-826.3611065050596,18.37187730159281,-84.5739630575718,-827.3260528463113,19.3784112791733,-83.61555753586305,-827.1179938971388,18.359504841060655,-26.530962500337054,-843.5331667010394,17.555661763745412,-26.553402343724322,-843.5204329305179,16.555994666899135,-26.562982296971324,-844.5325817545823,17.543649962253127,-27.53019780098063,-843.5014271068407,17.57849621376828,189.99253282576967,-959.7122460888424,72.02259806540025,190.13921025258648,-958.7307866439827,71.89921617629966,190.01130136619926,-959.590298898459,73.01495718620669,190.98153913229785,-959.8601184691344,72.02206440422238,186.54771423339844,-1023.4127197265625,21.06171989440918,186.59649759359044,-1022.4143594922841,21.091670293069033,186.5696614581342,-1023.4437700408179,22.060996731582463,187.54628245995823,-1023.4608104803116,21.038293919315826,219.1139853796542,-825.4183178797844,21.53121874963158,219.305022852133,-824.4367633172519,21.538656819312898,219.10161208769443,-825.4234868624145,22.531128837221782,220.0954901355036,-825.6094302090314,21.54237634143128,163.30912185175578,-843.0985623784989,20.749269696791,163.40645981768154,-842.5501704002917,21.579806606643604,164.30149886848173,-843.0886644500837,20.6264287928251,163.2335362905453,-842.262399553894,20.206021545680176
2,-56.46266865379233,-963.4697165562371,67.70821190759723,-56.65365577538533,-962.4949376861765,67.59275596851673,-56.483612150035185,-963.3561689499164,68.70152369704904,-55.481299564534496,-963.277588745699,67.706941054705,-51.09849548339844,-1024.6929931640625,19.563581466674805,-51.25954915772495,-1023.7068960896851,19.604499358730745,-51.155670184836815,-1024.743704622015,20.560656890876892,-50.11320731869668,-1024.5347499716759,19.628128539125285,-84.60121784219288,-827.3352800579471,18.36262072975805,-84.82025142554994,-826.3595876095955,18.355653980775866,-84.5840885125794,-827.3242958539108,19.362413674986552,-83.62565089142592,-827.1164111622783,18.34350186263847,-26.53329685928491,-843.5390861485223,17.545772951304656,-26.55291000543574,-843.53900049099,16.545965311225398,-26.558324442326565,-844.5387728273398,17.546178268221418,-27.532791203733723,-843.5140554302446,17.565382096042345,189.99748759091256,-959.7147241211107,72.02124271452546,190.14416165852484,-958.7332658503989,71.8978474928131,190.0162178652913,-959.592757727056,73.01360019826959,190.98649512107184,-959.8625884561367,72.02074903895173,186.5412139892578,-1023.4025268554688,21.068195343017578,186.59017337958116,-1022.4041711880602,21.098010430683118,186.5632186391863,-1023.4334486430915,22.067474902716334,187.53977233681726,-1023.4507949029075,21.044712964182438,219.1148186523473,-825.4180169971472,21.518810011481456,219.30558940438672,-824.43640991371,21.526162148058294,219.10226130628484,-825.4230657472094,22.51871841887819,220.09637294693636,-825.6088625993201,21.53017323747931,163.33289087684864,-843.1066322078997,20.728959298745114,163.37929026575807,-842.8111753837362,21.68318797247279,164.32992470612274,-843.0616087051927,20.66653792830969,163.27148533970524,-842.1523376258867,20.436467912976436
3,-56.460950344901185,-963.4774262995088,67.70908875687044,-56.651748264197394,-962.5026100431002,67.59363564849465,-56.481932480732596,-963.3638893821576,68.70240095269527,-55.47954527869855,-963.2854819465318,67.70787987637915,-51.09497833251953,-1024.6910400390625,19.56406593322754,-51.25612631104784,-1023.7049574269439,19.60496105632968,-51.15201369429705,-1024.7417123282273,20.561151329077713,-50.10969751137099,-1024.5326942112422,19.628473248718564,-84.61080671956145,-827.333824675301,18.34751231156274,-84.82989143137662,-826.3581452662778,18.340330399774857,-84.5937165029697,-827.3226277414782,19.347303566360367,-83.6352505635429,-827.1149084367963,18.328384662118637,-26.535670208259667,-843.5445453885274,17.53633668801557,-26.55253780523926,-843.5567336991362,16.536553246836114,-26.553764239399005,-844.5443036213948,17.548829960244802,-27.535364206545776,-843.5262445443292,17.552979671292917,190.00216050056846,-959.7171481518711,72.01990636830513,190.14882942207404,-958.7356908604378,71.89649724158974,190.020854572537,-959.5951622835404,73.012262141,190.99116947885815,-959.8650029218985,72.01945047081205,186.53504943847656,-1023.3928833007812,21.074312210083008,186.58417817840564,-1022.3945320422681,21.103996069977203,186.55710816312444,-1023.4236803479005,22.073594429756533,187.53359827532927,-1023.4413219889755,21.0507768344511,219.11567750849946,-825.4177421725176,21.506773857375098,219.3061889514538,-824.436084135391,21.51404628806542,219.10293681449002,-825.422677194356,22.506680513156333,220.0972798031278,-825.6083284881443,21.5183406839166,163.35644215994554,-843.114572008795,20.708953787996993,163.34437913208797,-843.1160155696772,21.708879985018996,164.35256421116256,-843.0274318448319,20.721096724367214,163.2692908981181,-842.1183769937721,20.709340576598624
4,-56.459690823604085,-963.4846174299059,67.71002848390103,-56.65031203503037,-962.509766338863,67.59457761103016,-56.480707861034915,-963.3710898299619,68.70334100682047,-55.47825216638092,-963.2928445581456,67.70887619713932,-51.091617584228516,-1024.689208984375,19.564517974853516,-51.25285581441659,-1023.7031402491426,19.60539195830294,-51.14851998040297,-1024.739844481429,20.56161283681385,-50.106343840320044,-1024.5307650011023,19.628792026610636,-84.61991646353535,-827.3324461232108,18.333290490206153,-84.83904926238779,-826.3567790286065,18.325905574935092,-84.60286116540146,-827.3210480381468,19.33308006829868,-83.64437049676972,-827.1134853866316,18.31415250274663,-26.538038111273853,-843.5496069460673,17.527361732221447,-26.55225211727761,-843.5736482688192,16.52775181988881,-26.549348577442842,-844.5492500276487,17.551564682488866,-27.53787311535621,-843.5379568710913,17.541298746417016,190.00654796507362,-959.719526196683,72.01860286064681,190.15320683703953,-958.738069184224,71.89517957285783,190.0252083765938,-959.5975209736124,73.01095688748673,190.99555906931644,-959.8673668481914,72.01818161729443,186.52919006347656,-1023.3837280273438,21.0800724029541,186.57848286737905,-1022.3853810782485,21.10962893718644,186.55129953281912,-1023.4144039700604,22.079357226167097,187.52772969255938,-1023.4323320988897,21.05648737846098,219.11654580012822,-825.417553888974,21.49511522681639,219.30680491554256,-824.4358463744879,21.502314185305718,219.10362255592358,-825.4223817102243,22.49502006323894,220.09819464709997,-825.6078879325488,21.506883535763166,163.3797477412561,-843.1223831084756,20.689262535752714,163.31604217168766,-843.39152709642,21.650253229859224,164.36482918263363,-842.9850893115951,20.793016895621307,163.2198848179138,-842.1691192797841,20.945644903806652
5,-56.458876484914654,-963.4912040866776,67.71104051737393,-56.64933270857004,-962.5163205086734,67.59559167065565,-56.47992482697239,-963.3776848584434,68.70435333422355,-55.47740646796684,-963.299591471856,67.70993975686848,-51.08842468261719,-1024.6875,19.564939498901367,-51.24974909244128,-1023.7014445536903,19.605794016372897,-51.14520052221918,-1024.7381011345162,20.562043319585634,-50.103157744761056,-1024.5289623641258,19.629086822921966,-84.62853319658885,-827.3310829426948,18.319949680638167,-84.84771097323878,-826.3554274143653,18.31237391249986,-84.61150850572416,-827.3194952511026,19.319737600801503,-83.65299679945969,-827.1120806243425,18.300799682398257,-26.540458423806708,-843.5541490872987,17.518836151844315,-26.552116926602938,-843.5895978729465,16.519532662953853,-26.545060502096966,-844.5535080095168,17.554340594644668,-27.540379870815404,-843.5491362857614,17.530324042546585,190.010661624727,-959.7218384190573,72.01732577754683,190.15730749868553,-958.7403812873673,71.8938879944105,190.02929058398695,-959.5998138330139,73.00967801454627,190.99967524926805,-959.86966229756,72.01693665468996,186.52365112304688,-1023.3750610351562,21.08547592163086,186.57310184923125,-1022.3767182516809,21.114909106349725,186.54580795516358,-1023.4056195584857,22.084763293432623,187.522181893965,-1023.4238243752262,21.061844667012714,219.11743913310596,-825.4174524645897,21.48382567160311,219.30745328723003,-824.4356970158798,21.49095730261337,219.10433404607664,-825.4221794939876,22.48372862283739,220.0991330150908,-825.6075416387197,21.495793459707382,163.40285525145134,-843.1300647472333,20.669874169068226,163.30170149105936,-843.5971586325829,21.548276821060757,164.35973836775688,-842.9340891043289,20.884276242560123,163.13056382946388,-842.2678485042541,21.097004748463874
6,-56.45851649912264,-963.4972523311069,67.71210506288706,-56.64882064743438,-962.5223389122117,67.59665742630051,-56.47959239641572,-963.3837398834654,68.7054180703443,-55.477017575186075,-963.3057875826844,67.71105034830215,-51.08539581298828,-1024.6859130859375,19.565330505371094,-51.24680235772938,-1023.6998703402121,19.606167142317382,-51.14205147679975,-1024.73648219905,20.56244278618861,-50.10013540930161,-1024.527286264746,19.629357597494742,-84.63667058415737,-827.3298557025118,18.307497464247227,-84.85589059502034,-826.3542110665716,18.299743033372078,-84.61967237893994,-827.3180900247215,19.307283756334453,-83.66114321506072,-827.1108143521072,18.28833398449322,-26.542876860384972,-843.5582905130709,17.51077550590672,-26.55208970562587,-843.6046501551602,16.511893176967064,-26.540953497135906,-844.5572142092495,17.557119328437413,-27.542832571482407,-843.5597847681677,17.520067601758917,190.01448287187,-959.7241086454723,72.01607990687779,190.16111222275717,-958.7426509064354,71.89262732511808,190.03308273830172,-959.6020647421326,73.0084303140558,191.0034994937865,-959.8719125430608,72.01572014234976,186.5184326171875,-1023.366943359375,21.090518951416016,186.56803553981996,-1022.3686046221293,21.119833039852633,186.54063340985243,-1023.3973884321426,22.089808810440523,187.5169548627441,-1023.41586026094,21.06684487551203,219.11835574828024,-825.4174377073666,21.47291115857992,219.30813242218042,-824.4356358823222,21.479981546326698,219.1050697498888,-825.4220703278386,22.472812164217128,220.10009313490158,-825.6072895316062,21.485076212743575,163.42570392093015,-843.1376206086763,20.65080641017556,163.29978777303864,-843.7381452587306,21.440436240144898,164.32799890271295,-842.8761210461778,20.993562511014915,163.0133825783468,-842.3819830477449,21.15972977077123
7,-56.45858859343787,-963.5027224768269,67.71324572866314,-56.64875175978455,-962.5277814249262,67.59779913718533,-56.479688520840114,-963.3892159312481,68.70655890041432,-55.4770628611065,-963.3113949842137,67.71223214997137,-51.0825309753418,-1024.6844482421875,19.565690994262695,-51.24401554983422,-1023.6984176010625,19.60651141762634,-51.13907292769551,-1024.7349877702604,20.56281122960355,-50.097276825477394,-1024.5257367716986,19.629604445978384,-84.64431352992767,-827.3286426347962,18.295925633077623,-84.86357265017506,-826.3530081255375,18.288004614721377,-84.62733769846362,-827.3167104832404,19.2957103323531,-83.66879456069414,-827.1095651870689,18.27674719302515,-26.545305827494936,-843.5619739998606,17.503174560315266,-26.55219053998832,-843.61871611682,16.504809430266718,-26.537046312136333,-844.5603319613622,17.559859312343313,-27.545248016393835,-843.5698297537652,17.51051663023219,190.0180313532744,-959.7263092413557,72.01487159644873,190.16464131186598,-958.7448505114781,71.89140386143666,190.03660435590342,-959.6042459953853,73.0072201277403,191.00705135489983,-959.8740905850037,72.0145386483157,186.51353454589844,-1023.3593139648438,21.095205307006836,186.56328354823265,-1022.3609791239227,21.124404316746457,186.53577590409486,-1023.3896493088239,22.094497601028554,187.51204862128864,-1023.408378333877,21.071491831111448,219.1192803127395,-825.4175094941783,21.462369620355922,219.30882684239955,-824.4356628157119,21.46938482373672,219.1058142977515,-825.4220540514347,22.46226862197543,220.10105970727486,-825.6071313467796,21.474729777387292,163.4482964636583,-843.1449914389002,20.632055900396143,163.30621599532566,-843.8343172588592,21.342438230170885,164.26089195487592,-842.8164037393739,21.113427577349388,162.88305164221262,-842.499344447381,21.145513059437707
8,-56.459110662881486,-963.5076397931102,67.71444442520013,-56.64914614474665,-962.5326738011436,67.59899820334492,-56.48023084684337,-963.3941377033404,68.70775767561376,-55.47756063692168,-963.3164367854815,67.71346646198494,-51.079830169677734,-1024.6832275390625,19.566022872924805,-51.241388110724294,-1023.6972083122678,19.60682870677029,-51.136264875828125,-1024.733739841904,20.563150563445618,-50.09458189861784,-1024.5244365076637,19.62982924189219,-84.65148387978441,-827.3275043679356,18.285229446157636,-84.87077928974611,-826.3518792820306,18.27715387047627,-84.6345264566909,-827.3154172355808,19.28501259616241,-83.67597274762252,-827.108393453136,18.26603470615031,-26.547766891648656,-843.5651965049555,17.49603613131532,-26.552448341809,-843.6317616511647,16.49826503264862,-26.533337360052972,-844.5628791515427,17.56252767451202,-27.547651821349234,-843.5792825977034,17.501667236781557,190.02130119573792,-959.7284755578542,72.01369248193743,190.16788803382033,-958.7470153418061,71.890209109713,190.0398496788109,-959.6063928301786,73.00603907531041,191.01032508456805,-959.876230936498,72.0133836047677,186.5089569091797,-1023.3521728515625,21.099533081054688,186.55884675567555,-1022.3538418025282,21.128621218685616,186.53123528942484,-1023.382402389209,22.09882775672715,187.50746313198968,-1023.4013794729451,21.075783735340934,219.1202110880277,-825.4176066544921,21.452208710410012,219.30953450366917,-824.4357165797161,21.459174724049266,219.1065661620396,-825.4220694674591,22.452105654747378,220.1020310614875,-825.6070056100241,21.464761612814506,163.470612385974,-843.1523032764607,20.613641001652116,163.31782187610838,-843.9016461961608,21.257954782965427,164.15595245344176,-842.7629189257037,21.22901797498541,162.75859830463972,-842.6167054645898,21.06770149531006
9,-56.46006383841685,-963.5119425313189,67.71570338267173,-56.64998359813829,-962.5369539727667,67.60025731058822,-56.48120066387935,-963.398443950492,68.70901668005561,-55.47849177306621,-963.3208525450757,67.7147559224624,-51.077293395996094,-1024.6820068359375,19.56632423400879,-51.23892099235381,-1023.6959984950415,19.607117269924903,-51.13362719776938,-1024.7324944883087,20.563458878746303,-50.09205077467209,-1024.5231403868627,19.63003003033013,-84.65816485236047,-827.3264421541861,18.27539832626495,-84.87749378705837,-826.3508257965091,18.267179990834048,-84.6412220773584,-827.3142113406462,19.275179977214485,-83.68266100266048,-827.1073003511609,18.256186106524304,-26.550236414724733,-843.5679598724237,17.489364113902344,-26.55284554342354,-843.6437631255197,16.492244733252523,-26.529861416315292,-844.5648796809177,17.565098880503175,-27.550025418408634,-843.5880785764654,17.493509697146358,190.02429893437602,-959.7305662980178,72.01255572668607,190.17085993287486,-958.7491042340591,71.88905637150958,190.0428250738774,-959.6084640645709,73.004900337566,191.0133270714248,-959.8782932813257,72.01226844882682,186.5046844482422,-1023.3455810546875,21.103500366210938,186.55471017445288,-1022.3472537057495,21.132481930687828,186.52699626051134,-1023.3757088030569,22.102797370014837,187.50318312613334,-1023.3949249817771,21.07971871132699,219.1211612751374,-825.4177906481234,21.44242944307794,219.3102692773442,-824.4358587563038,21.44935211084155,219.10733881332916,-825.4221779194553,22.442324283248556,220.10302027878862,-825.6069744520757,21.4551724910342,163.4925793482568,-843.1594985842135,20.595578752664395,163.33245346212672,-843.9508007777993,21.185663949070324,164.02309142823017,-842.7243652998618,21.32305105993916,162.660163206178,-842.7299641114691,20.945698022529537
