frame,LeftHFTBA_x,LeftHFTBA_y,LeftHFTBA_z,LeftFFHFA_x,LeftFFHFA_y,LeftFFHFA_z,LeftHXFFA_x,LeftHXFFA_y,LeftHXFFA_z,LeftFFTBA_x,LeftFFTBA_y,LeftFFTBA_z,RightHFTBA_x,RightHFTBA_y,RightHFTBA_z,RightFFHFA_x,RightFFHFA_y,RightFFHFA_z,RightHXFFA_x,RightHXFFA_y,RightHXFFA_z,RightFFTBA_x,RightFFTBA_y,RightFFTBA_z
0,9.380025208134832,2.1179333877450923,3.5645584704958444,-2.2037730007161236,-3.6727793782178675,-4.396617503911285,-68.58500492358705,-9.62823544790177,4.2301821447838573e-13,6.955922669656912,-1.4126584127290023,-0.9176539687175318,10.516448185384151,5.01747007913519,1.9382476692923887,-1.407744499927574,-7.6559397983354875,-4.976244550868315,-13.584158304203402,53.650215183051856,-5.4203533179657044e-15,8.86210120167219,-2.5885630155004984,-3.1673372398753057
1,9.372804157242978,2.150031929843664,3.5632308522233367,-2.198828309438531,-3.672125873641242,-4.390795692242536,-68.6176421081826,-9.466397957833754,2.626400479640793e-13,6.9537829969963365,-1.380291619644615,-0.9143190015134613,10.505584714204069,5.040921614063953,1.9372518423528402,-1.4054452736273622,-7.666879708338094,-4.9722315253455145,-14.028977862325991,53.222518169701175,3.937452981755044e-13,8.853334604511451,-2.5761562273588243,-3.164774724873813
2,9.365947304390525,2.1808372726864054,3.5615874451379708,-2.194339934730783,-3.6719707014134317,-4.38531064971672,-68.64857945294581,-9.314987629353885,-4.155391889887397e-13,6.951539890507855,-1.3496995402005287,-0.9115938367584488,10.495267785721579,5.064238186804472,1.9363737437818624,-1.403352416373017,-7.678012042429892,-4.968361037984248,-14.439245559524643,52.82705084454209,1.6704097170762572e-13,8.844888247288468,-2.5640667382137137,-3.1622499121485994
3,9.3594350584268,2.210338322159943,3.5596144454649488,-2.190305469162302,-3.672323941937783,-4.380155662791762,-68.67276958188411,-9.17352715338117,3.321257112311875e-13,6.949176575031114,-1.3209040530027145,-0.9094860281399413,10.485537467241661,5.087599962889012,1.935675449095626,-1.4014704582412274,-7.689298561864735,-4.964654995867528,-14.805472267067332,52.45796123058106,3.5653637077063875e-13,8.836790852765173,-2.5520743445957734,-3.1597287735286614
4,9.353264095759588,2.2386044797770492,3.5573295277593764,-2.1867281506154868,-3.673215418886463,-4.375335403214094,-68.69714083737863,-9.040941553995673,2.9910217890607635e-13,6.946683872195048,-1.293864666974258,-0.90798660261086,10.476356485756009,5.11087906096758,1.9351131648408697,-1.3998026405195654,-7.70077352485014,-4.961082005910624,-15.134391831965225,52.11932915920917,1.3018400065225667e-13,8.829006452693742,-2.5403422986497666,-3.1572204033966247
5,9.347425826561365,2.265589244802268,3.554731435150832,-2.1836059772897998,-3.674587241395255,-4.370836652863736,-68.71757215547713,-8.91971455116547,-2.842648051852164e-13,6.944058926431266,-1.2685702647315507,-0.9070825688887334,10.467751727101138,5.134093442148903,1.9347033108802407,-1.3983476214193016,-7.712416238679771,-4.957667630631406,-15.42307143889273,51.81623618111473,2.099743666153511e-13,8.82156170021682,-2.5288315594673567,-3.154734712011682
6,9.341947576615631,2.291296178269183,3.551819790934301,-2.1809365213519456,-3.6765037532870384,-4.3666627309514165,-68.73308031917361,-8.80722779415171,-1.5693582196346458e-13,6.941327831873172,-1.2450817238039718,-0.9067784507367451,10.459690683445217,5.157227199926814,1.934436714529332,-1.3971120402264976,-7.72422050735356,-4.9543898297447875,-15.674181414272786,51.54859576216608,-4.0553126190558446e-13,8.814418846449376,-2.517551910362573,-3.1522592387116264
7,9.336783388442495,2.3156880104212076,3.548580595857083,-2.178727292580777,-3.678954400337715,-4.362784933859521,-68.74708384390605,-8.706298612610768,6.294135278401186e-13,6.938438843923846,-1.2234259402035148,-0.9070591039772431,10.452208257107863,5.180348512355583,1.9343433941719546,-1.396100404363393,-7.736203339290845,-4.951258452313947,-15.88422375416947,51.31652665340064,9.53306459994724e-14,8.807603801476244,-2.506451220289637,-3.1497765570533116
8,9.331957697941684,2.338741344047942,3.5450097084510728,-2.1769742852472413,-3.6819464647693674,-4.359206604710111,-68.75627354615534,-8.61496915158257,-3.973403488462895e-13,6.935420425748867,-1.203634047422825,-0.907931598535481,10.445285511145148,5.203348806519084,1.9343910545166296,-1.395323409238238,-7.748336144209984,-4.9482489381122,-16.057931331594666,51.122011519567685,-1.7653947391799702e-13,8.801092042546802,-2.4956100459903876,-3.1472924838929255
9,9.32744283251415,2.360456859536799,3.541102484074133,-2.1756626448827463,-3.685528425000398,-4.355900121491168,-68.76570008577997,-8.533573574826997,4.81857052336357e-13,6.9322573303331465,-1.185754928603257,-0.909372953893415,10.438928221655903,5.226282085591067,1.9346054515151039,-1.3947953187344957,-7.760619622822943,-4.945361699055944,-16.19522657635275,50.96656711093713,-6.94878370197583e-14,8.79487173600342,-2.4849739376163975,-3.144784936688128
